INCREMENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRESION INC,,,,,,,EXPRESION INC,,,,,,,,,EXPRESION INC,,,,,EXPRESION INC,EXPRESION INC,EXPRESION INC,EXPRESION INC,EXPRESION INC,
INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,tk_= EXPRESION,,,,,,,,,,,,,,,,,,,,,,,
WHILE,,,,,,,,,,,tk_while tk_( EXPRESION t_) tk_{ INSTRUCCIONES tk_},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO,,,,,,,,,,,,tk_do tk_{ INSTRUCCIONES tk_} tk_while tk_( EXPRESION tk_) tk_;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF,,,,,,,,,,,,,,,,,tk_if tk_( EXPRESION tk_) tk_{ INSTRUCCIONES tk_} IF_OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF_OP,,,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,,,ε,tk_else ELSE,ε,ε,ε,,,,ε,,,,,,,,,,,,,,,,,,,,,,,ε,,,,,
ELSE,,,,,,,,,,,,,,,,,IF,tk_{ INSTRUCCIONES tk_},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXP EXP,,,,,,,TEXP EXP,,,,,,,,,TEXP EXP,,,,,TEXP EXP,TEXP EXP,TEXP EXP,TEXP EXP,TEXP EXP,
EXP ,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,ε,ε,ε,,,tk_|| TEXP EXP,,tk_^ TEXP EXP,,,,,,,,,,,,,,,,,,
TEXP,,,,,,,,,,,,,,,,,,,,,,,,,,,FEXP TEXPP,,,,,,,FEXP TEXPP,,,,,,,,,FEXP TEXPP,,,,,FEXP TEXPP,FEXP TEXPP,FEXP TEXPP,FEXP TEXPP,FEXP TEXPP,
TEXPP,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,ε,ε,ε,,tk_&& FEXP TEXPP,ε,,ε,,,,,,,,,,,,,,,,,,
FEXP,,,,,,,,,,,,,,,,,,,,,,,,,,,ER,,,,,,,tk_! ER,,,,,,,,,ER,,,,,ER,ER,ER,ER,ER,
E ,,,,,,,,,,,,,,,,,,,,,,,,,,,T EP,,,,,,,,,,,,,,,,T EP,,,,,T EP,T EP,T EP,T EP,T EP,
EP,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,ε,ε,ε,,ε,ε,,ε,ε,ε,ε,ε,ε,ε,tk_+ T EP,tk_- T EP,,,,,,,,,,
T,,,,,,,,,,,,,,,,,,,,,,,,,,,F TP,,,,,,,,,,,,,,,,F TP,,,,,F TP,F TP,F TP,F TP,F TP,
TP ,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,ε,ε,ε,,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,tk_* F TP,tk_/ F TP,,,,,,,,
F ,,,,,,,,,,,,,,,,,,,,,,,,,,,tk_( EXPRESION tk_),,,,,,,,,,,,,,,,tk_- F,,,,,tk_id E_OP,tk_cadena,tk_entero,tk_decimal,tk_char,
E_OP,,,,,,,,,,,,,,,,,,,,,,,,,,ε,tk_( L_ARG tk_),ε,ε,ε,,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,tk_++,tk_--,,,,,,
ER,,,,,,,,,,,,,,,,,,,,,,,,,,,E ERP,,,,,,,,,,,,,,,,E ERP,,,,,E ERP,E ERP,E ERP,E ERP,E ERP,
ERP,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,ε,ε,ε,,ε,ε,,ε,S_REL E,S_REL E,S_REL E,S_REL E,S_REL E,S_REL E,,,,,,,,,,,,
S_REL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tk_>,tk_<,tk_>=,tk_<=,tk_==,tk_!=,,,,,,,,,,,,
T_CLASS,,tk_class,tk_interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPO,,,,tk_void,tk_int,tk_boolean,tk_double,tk_string,tk_char ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST,,,,ε,ε,ε,ε,ε,ε,,,,,,,,,,,,,tk_static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME,,,,,,,,,,,,,,,,,,,,,,,tk_main,,,,,,,,,,,,,,,,,,,,,,,,,tk_id,,,,,
